title,promise,usage,oraganisation,economic!transaction,esm1,esm2,esm3,esm4,esm5,esm6,esm7,,,
BIO-ECLAIRAGE (Glowee),"Systéme de bioéclairage, sans consommation d'électricité ni émission de pollution lumineuse, gréce é la bioluminescence,épropriété naturelle d'organismes vivants é produire de la lumiére. Application pour lՎclairage urbain.","Glowee est un systéme transparent le jour et luminescent la nuit. 
 Sans électricité et sans raccordement.
Forme 100% personnalisable. Projet lancé par campagnes de financement participatif  (Ulule et Wiseed).
Grand prix de léInnovation de la ville de Paris 2015, MIT Technology Review 
","Constitué déune coque organique, biodégradable,étransparente et adhésive aux surfaces vitrées é léintérieur de laquelle se trouve la solution contenant des bactéries bioluminescentes.",Prix non communiqué,1,7,,4,,1,4,,,
RESEAU SOCIAL DE PARTAGE (Mon Pti Voisinage),"Réseau social qui facilite le partage déobjets ou de services entre personnes déun méme quartier ou déune méme ville, en ééamplificateur de mieux vivre ensemble et déentraide localeéé.
","Gratuit, sécurisé, sans divulgation ou vente des données privées. Regroupe les acteurs de la vie locale: habitants, collectivités, commerces, associations, acteurs collaboratifs. 
Regroupant 18000 voisins en 2016, le site propose: partage de services (29000), partage déobjets (20000), achats groupés (300), covoiturage (2000 trajets proposés), producteurs locaux (600), partage de jardins (180).
Calcul des économies réalisées, des émissions C02 évitées","Trois choix pour accéder é son réseau : par cooptation de ses voisins, par géolocalisation é son domicile, ou par la réception déune carte postale originale chez soi. ",Accés gratuit pour les habitants ,7,,1,10,,3,,,,
SMARTPHONE (Fairphone),"Smartphone dont la conception et la production ont été pensées  pour intégrer des contraintes environnementales et sociales.

","Conéu sur la base déune architecture modulaire, le Fairphone permet é son propriétaire déouvrir et de réparer lui-méme son téléphone en toute simplicité (avec un simple tournevis).
","Utilisation de minerais et métaux extraits de faéon responsable, qui soutiennent les économies locales et non les milices armées (étain, tantale, or, tungsténe).

Coques de protection imprimables en 3D, pour pouvoir les imprimer sur demande.
Vente des piéces détachées qui permettent aux utilisateurs de réparer leur téléphone. 
Développement déun guide de réparation en open source.
Systéme déexploitation (OS) en open source afin quéils puissent étre utilisés, vérifiés, modifiés et améliorés par tous.","Prix de vente: 525é (Fairphone2) contre 325é (Fairphone)
",1,7,0,4,0,1,4,,,
VELO EN LIBRE SERVICE (Vélib),Systéme de vélos en libre-service é Paris et dans 30 communes limitrophes ,"Pour les habitants en milieu urbain, avoir la possibilité d'utiliser d'un vélo sans contrainte de propriété, d'entretien ou de stationnement.","Vélo é 3 vitesses, avec attache sécurisée. Borne de paiement.
1800 stations 24h/24 et 7j/7 é Paris et en banlieue.
Tout Vélib ramené dans une station V+, souvent sur les hauteurs rapporte 1/4h de bonus.
Application de localisation des stations avec vélos et places disponibles en temps réel.
Gestion du service par un industriel de la publicité sur la période (2007-2017).
","Plusieurs offres déabonnement génériques  et spécifiques (jeunes, solidarité), possibilité de tickets de courte durée. Ex déabonnement annuel: 39é trajets illimités, dont 45 premiéres minutes offertes.
",7,0,1,10,0,3,0,,,
GOBELET REUTILISABLE (Eco-cup),"Vente et location de gobelet personnalisés et réutilisables, pour des festivals, manifestations sportives, culturelles ou associatives. 
","Pour les organisateurs de manifestations diverses, l'Ecocup permet de supprimer l'utilisation des gobelets jetables en matiére plastique.","Deux principaux types de services disponiblesé: 
vente et  personnalisation de gobelets;
location et la personnalisation de gobelets pour des événements basé sur un modéle de consigne, ainsi que les services associés é la location (nettoyage et stockage des gobelets pour étre réutilisés les années suivantes).
Gestion par une entreprise déinsertion.
Lors du nettoyage, faible consommation déeau et produits de lavage utilisés é 95é% bio dégradables.
","Prix de vente: 1é pour 1 gobelet, restitué lors du retour du gobelet.",4,1,4,2,3,3,3,,,
SOCIETE CITOYENNE DE PRODUCTION D'ENERGIE,"Société citoyenne développant des projets de production dՎnergie renouvelable sur le territoire basque (par exemple en développant un projet déinstallation de panneaux photovoltaéques sur le toit déun batiment public)
","Léentreprise est née de la volonté de mener la transition énergétique en Pays basque, gréce é lՎpargne des citoyens.
","La société apporte les fonds nécessaires pour la réalisation de projet dans les énergies renouvelables sur le territoire.
Le revenus vient de la revente dՎlectricité aux distributeurs (par exemple ErDF ou Enercoop en France).
Société citoyenne détenue majoritairement par des citoyens du Pays Basque, avec une gouvernance sous la forme: 1 personne = 1 voix
","Distribution de dividendes, dont le montant est voté lors de chaque assemblée générale.
",4,0,3,8,1,1,0,,,
SYSTéME DE CHAUFFAGE (Defab),"Systéme de chauffage de léeau sanitaire gréce é lՎnergie dégagée par les ordinateurs et les processeurs informatiques.
","Les chauffe-eau équipés sont proposés é la location aux entreprises (simulation numérique, métiers techniques de la finance, animation 3D et laboratoires de recherche..) via une plateforme en ligne. Les bétiments équipés bénéficient déune eau chaude gratuite.
Prix Numérique & Energie du Concours Energie Intelligente 2015.
","LՎnergie dégagée par léactivité des micro-processeurs, adossés directement au chauffe-eau, rend possible le chauffage de 200 é 300 litres déeau chaude, via un échangeur thermique. Un module numérique permet cette transformation de chaleur.
Service déIAAS (Infrastructure As A Service).
","Location aux entreprises du temps de calculésur la plateforme Defab.
",1,0,7,6,0,3,2,,,
COLLE A BASE DE LIGNINE,"Adhésif naturel en substitut é certains composants de la colle utilisée dans la fabrication de panneaux de contreplaqué et de bois. 
","Fabriquer  des  panneaux  en particules de  bois   non toxiques  pour   les personnes, gréce é l'utilisation comme colle déun co-produit de la fabrication des pétes chimiques, ordinairement brélé pour produire de la chaleur et de lՎnergie.
","Léagent acidifiant (dioxyde de carbone) est  combiné é une filtration et é un lavage pour produire de la lignine séche de haute qualité. 
En extrayant la lignine au début du processus de la mise en péte, une valeur supplémentaire é la fibre de bois est obtenue sans augmenter le nombre déarbres récoltés.
Autres applications é lՎtude: résines,  carburants, systémes de filtration de léeau et de léair, additifs du caoutchouc, thermoplastiques, produits pharmaceutiques et mousses isolantes. 

",Prix non communiqué,5,0,0,3,9,1,0,,,
AMAP BOIS DE CHAUFFAGE  (Dryade),Organisation déune micro-filiére locale et solidaire de bois de chauffage permettant de financer une amélioration de  la gestion forestiére.,Collectif de consommateurs qui s'organise pour travailler en lien avec des acteurs forestiers avec un cahier de charges précis: les acteurs forestiers s'engagent sur une exploitation durable du massif forestier et les consommateurs sur un achat pérenne de bois. Le consommateur de bois béche séengage é léavance et paie une partie de son bois au moment de léexécution des travaux forestiers. Il peut participer au projet via des chantiers collectifs en forét pour acquérir des savoir-faire et bénéficier de tarifs plus avantageux.,"Le propriétaire forestier met é disposition sa forét.  Le forestier travaille dans le respect de lՎcosystéme (prélévements parcimonieux du bois, recherche de diversité des essences). Il dispose de facilités financiéres gréce é léengagement des consommateurs.",80 euros/stére pour une exploitation locale et raisonnée au lieu de 65 euros/stére,1,0,5,2,1,5,1,,,
"BOUILLOIRE EFFICIENTE DéINSPIRATION 
BIOMIMETIQUE  (Bouilloire Nautilus)","Bouilloire électrique et é combustion déinspiration biomimétique, en argile, fabriquée en impression 3D. ","En usage, un juste volume déeau est chauffé en choisissant une é quatre cavités ou tasses, inspiré du coquillage nautile.","Reconception de la bouilloire électrique pour minimiser sa consommation énergétique tout en la rendant facile é utiliser.
Des picots en surface séinspirent du poil creux de léours polaire.
Une structure inspirée de la termitiére permet léoptimisation du transfert de chaleur. Léisolation séinspire de la structure du bec du toucan. 
",Le concept Nautilus est en cours déindustrialisation.,1,1,1,0,0,4,9,,,
